brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,engine_size,price_index,transmission_group
Lincoln,MKC Select,2019,49814,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Ruby Red Metallic Tinted Clearcoat,Cappuccino,None reported,No,26545,2.0,0.6257163650935363,AT (Automatic)
BMW,i8 Base,2015,846,Plug-In Hybrid,357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,A/T,White,White,None reported,Yes,86999,1.5,2.5740110654161366,AT (Automatic)
Toyota,Highlander XLE,2021,67039,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blue,Black,None reported,No,34645,3.5,0.8106938106938107,AT (Automatic)
Mazda,CX-30 Premium Package,2023,2636,Gasoline,2.5L I4 16V,6-Speed Automatic,Platinum Quartz Metallic,Black,None reported,No,28535,2.5,0.8069092280139504,AT (Automatic)
Porsche,Cayenne Platinum Edition,2018,50166,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,White,Black,At least 1 accident or damage reported,Yes,43550,3.6,0.48707532362952205,AT (Automatic)
Lincoln,MKZ Reserve,2017,37375,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Brown,None reported,Yes,27500,3.0,1.2035010940919038,AT (Automatic)
Tesla,Model 3 Standard Range Plus,2021,21600,Electric,271.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,31000,3.5,0.6348183532129317,AT (Automatic)
Porsche,718 Cayman S,2019,9500,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,69000,2.5,0.6284922561859931,AT (Automatic)
Chevrolet,Corvette Base,2005,143095,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,None reported,Yes,16000,6.0,1.1886079358151715,AT (Automatic)
Acura,RSX Type S,2002,80000,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,8500,2.0,1.0,Manual
Porsche,Cayman S,2007,5856,Gasoline,295.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,Yes,45000,3.4,0.7904900285329258,Manual
Audi,SQ7 4.0T,2022,28927,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Matador Red Metallic,Black,None reported,No,74900,4.0,1.2628625671686082,AT (Automatic)
Mercedes-Benz,AMG GLS 63 4MATIC,2022,4102,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,None reported,Yes,144664,4.0,1.6430929902714042,AT (Automatic)
Honda,Ridgeline RTL-E,2021,14442,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,38500,3.5,1.1671618262293093,AT (Automatic)
Mercedes-Benz,CLK-Class 500 Cabriolet,2005,64000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,12995,5.0,0.9895297924995241,AT (Automatic)
Lexus,GX 470 Base,2004,154000,Gasoline,235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,10000,4.7,1.1881188118811883,AT (Automatic)
Lexus,NX 200t Base,2015,54000,Gasoline,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,27000,2.0,0.9058538287421828,AT (Automatic)
Dodge,Dakota SLT Quad Cab,2007,232492,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,6000,3.7,0.4285867352405443,AT (Automatic)
Maserati,Ghibli S Q4 GranSport,2020,25721,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Nero,None reported,Yes,52645,3.0,0.9975839689232081,AT (Automatic)
Land,Rover Discovery Sport SE R-Dynamic,2020,20927,Gasoline,2.0 Liter,Automatic,Fuji White,–,None reported,No,35998,2.0,0.6165519131298599,AT (Automatic)
Aston,Martin DBX Base,2021,2353,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Green,Sahara Tan,None reported,Yes,159500,4.0,1.0,AT (Automatic)
Audi,Q3 45 S line Premium,2022,9325,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Mythos Black Metallic,Black,None reported,No,33610,2.0,0.566686393625326,AT (Automatic)
Ford,Explorer XLT,2020,61001,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,Gray,Ebony,At least 1 accident or damage reported,Yes,28616,2.3,0.720372571780205,AT (Automatic)
Mercedes-Benz,AMG GLC 63 Base 4MATIC,2018,71962,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,46900,4.0,0.8988037310416074,AT (Automatic)
Subaru,BRZ Premium,2023,5800,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,Yes,29990,2.4,1.0,Manual
BMW,640 i,2016,40080,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,28499,3.0,0.9910435881286973,AT (Automatic)
Kia,Stinger GT2,2020,57000,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Red,At least 1 accident or damage reported,Yes,36500,3.3,1.0824864565621417,AT (Automatic)
Chevrolet,Bolt EUV Premier,2022,7624,Electric,Electric,1-Speed Automatic,Mosaic Black Metallic,Jet Black,None reported,Yes,31985,3.5,0.5338872228965593,AT (Automatic)
Subaru,Forester 2.5 XT,2004,122000,Gasoline,210.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Manual,Gold,Black,At least 1 accident or damage reported,Yes,9999,2.5,1.0,Manual
Kia,Sportage X-Pro,2023,459,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Jungle Green,Black,None reported,No,36998,2.5,0.9793630334610036,AT (Automatic)
BMW,M4 Base,2016,62500,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Orange,At least 1 accident or damage reported,Yes,40500,3.0,1.4083745155693967,AT (Automatic)
Hyundai,Equus Signature,2013,72000,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,17500,5.0,1.3482384301882142,AT (Automatic)
Mercedes-Benz,AMG E 53 4MATIC,2020,8375,Gasoline,"AMG 3L I-6 gasoline direct injection, DOHC, variable valve contr","Automatic, 9-Spd 9G-Tronic",BLACK,BLACK,None reported,No,69900,3.0,0.7766345030155316,AT (Automatic)
BMW,M550 i xDrive,2020,40000,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,53000,4.4,0.9186777588499773,AT (Automatic)
Subaru,Impreza WRX STI,2014,77000,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,At least 1 accident or damage reported,Yes,30000,2.5,1.3668048658253222,Manual
Mercedes-Benz,AMG G 63 Base,2019,19593,Gasoline,4.0 Liter Twin Turbo,Automatic,Black,Black,None reported,No,159998,4.0,2.5512311768745595,AT (Automatic)
Mazda,Mazda6 Grand Touring,2020,35902,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Deep Crystal Blue Mica,Black,None reported,No,22966,2.5,0.9659482831137806,AT (Automatic)
Hyundai,Veloster Base,2013,800,Gasoline,132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,9800,1.6,0.7550135209053999,AT (Automatic)
Bentley,Bentayga S,2023,2600,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Beluga Black,Hotspur,None reported,Yes,239995,4.0,1.0,AT (Automatic)
Land,Rover Defender X-Dynamic SE,2023,6204,Hybrid,3.0 Liter,Automatic,Eiger Grey,–,None reported,No,79998,3.0,0.6196320751450249,AT (Automatic)
Kia,Telluride SX,2020,69185,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Ebony Black,Gray,None reported,No,37405,3.8,1.1093261892522441,AT (Automatic)
Maserati,GranTurismo Sport,2015,45000,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,41900,4.7,1.2635858092377472,AT (Automatic)
BMW,540 i xDrive,2020,37426,Gasoline,2.0 Liter Turbo,Automatic,White,Black,None reported,No,39998,2.0,0.693307037707196,AT (Automatic)
INFINITI,M56 Base,2011,137000,Gasoline,420.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Brown,At least 1 accident or damage reported,Yes,8500,5.6,0.6023029229406555,AT (Automatic)
Mazda,Mazda3 s Grand Touring,2016,85000,–,–,A/T,Black,Black,At least 1 accident or damage reported,Yes,18500,3.5,1.1228317209065197,AT (Automatic)
Chevrolet,Corvette Stingray w/1LT,2023,4000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,73900,6.2,0.9328025573179718,AT (Automatic)
Audi,Q5 S line Premium Plus,2023,4648,Hybrid,2.0 Liter TFSI,Automatic,Mythos Black,Black,None reported,No,47598,2.0,0.716064815068081,AT (Automatic)
Lexus,GX 460 Base,2018,52100,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,38000,4.6,0.8450177309835039,AT (Automatic)
BMW,X1 sDrive28i,2014,50100,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,None reported,Yes,10795,2.0,0.45893518534264327,AT (Automatic)
Alfa,Romeo Stelvio Ti,2020,41000,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,32400,2.0,0.9704375954712913,AT (Automatic)
RAM,1500 Big Horn,2021,70968,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,34000,5.7,0.7298163519110054,AT (Automatic)
BMW,M4 Base,2015,26600,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,Yes,53000,3.0,1.568093730583745,AT (Automatic)
Tesla,Model X Long Range,2022,15443,Electric,670.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,84500,3.5,1.4886545147045007,AT (Automatic)
Volvo,S90 T5 Momentum,2018,95000,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,18000,2.0,0.6454543281298559,AT (Automatic)
Subaru,Impreza WRX Sti,2005,94000,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Manual,Black,Blue,None reported,Yes,19500,2.5,1.4962019488989489,Manual
BMW,X6 xDrive40i,2020,45076,Gasoline,3.0 Liter Turbo,Automatic,Blue,Black,None reported,No,57998,3.0,1.005310804863792,AT (Automatic)
Cadillac,CTS 2.0L Turbo Luxury,2014,110000,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,11000,2.0,0.6509029799521883,AT (Automatic)
Land,Rover Discovery Sport HSE,2016,49083,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Indus Silver,Ebony,None reported,No,21590,2.0,0.7355337644861087,AT (Automatic)
Genesis,G90 5.0 Ultimate,2017,63500,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,27500,5.0,0.9105960264900662,AT (Automatic)
Mercedes-Benz,CLK-Class CLK 350,2009,21500,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,18000,3.5,0.6108597285067873,AT (Automatic)
Land,Rover Range Rover Autobiography,2023,324,Gasoline,4.4 Liter,Automatic,Black,Blk,None reported,No,199998,4.4,1.5491034246462998,AT (Automatic)
Kia,Optima EX,2019,68166,Gasoline,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",Automatic,Ebony Black,Black,None reported,No,20818,1.6,0.8509994685852104,AT (Automatic)
Toyota,Highlander SE,2018,53607,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Midnight Black Metallic,Black,At least 1 accident or damage reported,No,31853,3.5,0.9039389295646745,AT (Automatic)
Mercedes-Benz,Sprinter 4500 High Roof,2019,16813,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,No,45900,3.0,0.731893592535796,AT (Automatic)
BMW,X1 xDrive28i,2020,18200,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,29500,2.0,0.5113395072844213,AT (Automatic)
Audi,R8 5.2,2015,51000,Gasoline,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,102000,5.2,4.244087014185965,AT (Automatic)
Audi,S3 2.0T Tech Premium Plus,2018,16400,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Red,None reported,Yes,42800,2.0,1.0571614944419307,AT (Automatic)
Toyota,Tundra Hybrid TRD Pro,2022,7000,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,–,None reported,Yes,75500,3.4,1.7136665655231074,AT (Automatic)
Audi,SQ5 3.0T Premium Plus,2022,8497,Gasoline,3.0L V6 24V GDI DOHC Turbo,Automatic,Ibis White,Black,None reported,No,52900,3.0,0.8919283017786298,AT (Automatic)
Audi,A6 2.0T Premium Plus,2016,68000,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,20000,2.0,0.715892539023027,AT (Automatic)
BMW,328 xi,2007,83000,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,None reported,Yes,8995,3.0,1.0184940554821664,AT (Automatic)
Audi,SQ5 3.0T Prestige,2018,25000,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,50000,3.0,1.235001745843377,AT (Automatic)
Cadillac,Escalade Sport Platinum,2021,15689,Diesel,3.0L I6 24V DDI DOHC Turbo Diesel,10-Speed Automatic,Infrared Tintcoat,Jet Black,None reported,No,97952,3.0,1.1205971467971207,AT (Automatic)
BMW,M235 i,2014,125450,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Manual,Blue,Black,None reported,Yes,17200,3.0,0.7312353115232482,Manual
Kia,Telluride SX,2023,9822,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Midnight Black,Gray,None reported,No,50998,3.8,1.3499528617883199,AT (Automatic)
Chevrolet,Express 3500 Base,2008,144000,Gasoline,323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,22000,6.0,0.8167053364269141,AT (Automatic)
GMC,Acadia SLE,2020,30900,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Summit White,Jet Black,None reported,Yes,27654,2.5,0.7904944759146066,AT (Automatic)
BMW,X3 xDrive30i,2021,2492,Gasoline,2.0 Liter Turbo,Automatic,Phytonic Blue Metallic,Canberra Beige/Black,None reported,No,41598,2.0,0.6962787927201198,AT (Automatic)
Audi,TT 2.0T,2015,126760,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,14000,2.0,0.5825217470451325,AT (Automatic)
Subaru,Outback 3.6R Touring,2017,100680,Gasoline,256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Brown,–,None reported,Yes,20500,3.6,0.9455446971662487,AT (Automatic)
Mitsubishi,Eclipse Spyder GS,2001,90400,Gasoline,140.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,–,None reported,Yes,4495,2.4,1.0,AT (Automatic)
Hyundai,Santa Fe SEL,2022,26895,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Quartz White,Black,None reported,No,29800,2.5,0.9945699152613082,AT (Automatic)
BMW,M5 Base,2018,20500,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,67000,4.4,1.4736945522424718,AT (Automatic)
Dodge,Ram 1500 ST,2011,134000,Gasoline,390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,10500,5.7,0.7590361445783133,AT (Automatic)
Ford,Fusion Energi Titanium,2015,84352,Plug-In Hybrid,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,Blue,Black,At least 1 accident or damage reported,Yes,10000,2.0,0.3692258753493445,AT (Automatic)
Toyota,Tundra Hybrid TRD Pro,2022,19000,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,Black,None reported,Yes,71000,3.4,1.6115274987038493,AT (Automatic)
Land,Rover Range Rover Evoque Pure,2015,115550,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,17500,2.0,0.7335270776281227,AT (Automatic)
Lincoln,Navigator Base,2009,191775,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,9750,5.4,1.0,AT (Automatic)
Ford,Mustang Mach-E Select,2023,923,UNKNOWN,Standard Range Battery,Automatic,Rapid Red Metallic Tinted Clearcoat,Black Onyx,None reported,No,46998,3.5,0.7140382862351868,AT (Automatic)
Mercedes-Benz,Sprinter 3500 High Roof,2017,124630,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,Black,Black,None reported,Yes,75000,3.0,1.2944425267518123,AT (Automatic)
Mercedes-Benz,AMG E 63 S 4MATIC,2019,17000,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Brown,None reported,Yes,95000,4.0,1.51481244642485,AT (Automatic)
BMW,440 i xDrive,2018,73500,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Blue,None reported,Yes,32000,3.0,0.7038541145038671,AT (Automatic)
Acura,Integra LS,1998,120000,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,–,At least 1 accident or damage reported,Yes,5500,1.8,1.0,AT (Automatic)
Audi,Q7 55 Prestige,2019,73837,Gasoline,3.0L V6 24V GDI DOHC Supercharged,8-Speed Automatic,Cobra Beige Metallic,Nougat Brown,None reported,Yes,36340,3.0,0.8878321552577546,AT (Automatic)
BMW,M6 Base,2014,29500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,40999,4.4,1.7430184033221892,AT (Automatic)
Volkswagen,Arteon 2.0T SE,2021,13613,Gasoline,2.0 Liter TSI,Automatic,Pure White,Titan Black,None reported,No,29798,2.0,0.8945326278659612,AT (Automatic)
Lexus,LX 600 F SPORT,2023,1185,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,120990,3.4,1.436787166580995,AT (Automatic)
INFINITI,Q40 Base,2015,143250,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,11500,3.7,0.6745105399603505,AT (Automatic)
BMW,Z4 3.0i Roadster,2006,46508,Gasoline,215.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Green,Beige,At least 1 accident or damage reported,Yes,11500,3.0,0.6571428571428571,AT (Automatic)
BMW,M6 Base,2015,18651,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,59549,4.4,1.7618568596704045,AT (Automatic)
BMW,X3 M40i,2019,36438,Gasoline,3.0 Liter Turbo,Automatic,Alpine White,Oyster W/Contrast,None reported,No,39998,3.0,0.7888918473812412,AT (Automatic)
Kia,Sorento LX,2014,46628,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Snow White Pearl,Beige,None reported,No,15363,2.4,1.2663726661995631,AT (Automatic)
Rivian,R1S Adventure Package,2023,5700,Electric,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,White,None reported,Yes,95000,3.5,1.0114639681044597,AT (Automatic)
BMW,Z4 sDrive28i,2015,57550,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Black,White,None reported,Yes,29995,2.0,0.8874522914879138,Manual
Cadillac,CTS-V Base,2017,48600,Gasoline,640.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,60999,6.2,1.5476414994608538,AT (Automatic)
Ford,Transit Connect XL,2020,119000,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,18000,2.5,0.45312784078989693,AT (Automatic)
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,36500,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,72000,5.0,1.2331723358339328,AT (Automatic)
Lexus,IS 250 Base,2010,121250,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,13250,2.5,0.7177681473456121,AT (Automatic)
BMW,X7 xDrive40i,2023,2437,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,78350,3.0,0.8677296493309012,AT (Automatic)
Volvo,XC90 T6 Momentum,2018,110380,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,22000,2.0,0.7888886232698239,AT (Automatic)
Hyundai,Tucson Limited,2008,149000,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Gray,None reported,Yes,3850,2.7,1.0,AT (Automatic)
Dodge,Durango GT,2021,14684,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,DB Black Clearcoat,Black,None reported,No,37995,3.6,1.0000827244935944,AT (Automatic)
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,39000,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,39000,3.0,0.6731101139109423,AT (Automatic)
GMC,Yukon XL SLT,2019,65212,Gasoline,5.3L V8 16V GDI OHV,Automatic,Summit White,Jet Black,None reported,Yes,42995,5.3,1.021477275427051,AT (Automatic)
Audi,RS Q8 4.0T,2020,41856,Gasoline,591.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,91500,4.0,1.3210007844194092,AT (Automatic)
Rivian,R1S Adventure Package,2023,655,Electric,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Silver,None reported,Yes,94500,3.5,1.0061404735354889,AT (Automatic)
Toyota,RAV4 Hybrid XLE,2019,54000,Hybrid,219.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gray,Gray,None reported,Yes,33000,2.5,0.8922313478932733,AT (Automatic)
Alfa,Romeo Stelvio Quadrifoglio,2019,26500,Gasoline,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,53900,2.9,1.4528301886792452,AT (Automatic)
Land,Rover Range Rover Evoque SE,2020,38356,Gasoline,2.0 Liter,Automatic,Firenze Red Metallic,Ebony,None reported,No,36598,2.0,0.6268283492618093,AT (Automatic)
Alfa,Romeo Stelvio Ti Sport,2020,21487,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Anodized Blue Metallic,Ice,None reported,Yes,35345,2.0,1.0586455806152095,AT (Automatic)
Cadillac,Escalade EXT Base,2007,99000,Gasoline,403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,22999,6.2,1.6140404229437635,AT (Automatic)
Ford,F-250 Lariat,2019,35597,E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,Black,Black,None reported,No,47756,6.2,1.127357711102193,AT (Automatic)
Nissan,350Z Enthusiast,2005,130307,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Black,None reported,Yes,9950,3.5,1.435096153846154,AT (Automatic)
Subaru,Legacy 2.5 i Premium,2010,178000,Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,7600,2.5,0.32,AT (Automatic)
McLaren,570S Spider,2020,8700,Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,185000,3.8,1.0,AT (Automatic)
Maserati,Ghibli S Q4,2016,1000,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,36000,3.0,1.0,AT (Automatic)
Jeep,Wagoneer Series II 4x4,2022,29800,Gasoline,"HEMI 5.7L V-8 variable valve control, regular unleaded, engine w","Automatic, 8-Spd",–,–,None reported,No,58900,5.7,1.14008642590648,AT (Automatic)
Maserati,Ghibli S Q4,2017,49750,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,27995,3.0,0.8630775752437474,AT (Automatic)
Lexus,RX 300 Base,2002,121000,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,6348,3.0,0.4759869530986391,AT (Automatic)
Ford,Transit Connect XL,2018,66770,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,–,None reported,No,21500,2.5,0.5431642983580438,AT (Automatic)
Cadillac,SRX Luxury Collection,2016,61549,Gasoline,3.6 Liter SIDI DOHC,Automatic,Red,Ebony,At least 1 accident or damage reported,No,19998,3.6,0.9273072940012674,AT (Automatic)
Lincoln,MKS EcoBoost,2016,38100,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,21000,3.5,1.0229985223354676,AT (Automatic)
Toyota,Yaris Base,2010,138071,Gasoline,106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,Manual,Red,Gray,None reported,Yes,5000,1.5,0.32539725581647594,Manual
